,Pix_a_a,Pix_a_o,Pix_b_a,Pix_b_o,Sn_active_and,Sn_active_or,Sn_blob_and,Sn_blob_or,Sn_unfiltered,St_active_and,St_active_or,St_blob_and,St_blob_or,St_unfiltered,Pix_a_a_si,Pix_a_o_si,Pix_b_a_si,Pix_b_o_si,Sn_active_and_pa,Sn_active_or_pa,Sn_blob_and_pa,Sn_blob_or_pa,St_active_and_pa,St_active_or_pa,St_blob_and_pa,St_blob_or_pa,harp_area_si,LL,area,hale,longitude,mcintosh1,mcintosh2,mcintosh3,hale_enc,area_si
2014-12-31,20714.898305084742,24171.898305084746,105497.59322033898,106123.50847457627,4.80871954263751e+19,5.098904794048812e+19,8.306460458656054e+19,8.309048203094373e+19,8.427967809125255e+19,3.65681442782558e+20,4.225111052435249e+20,5.380115295829189e+20,5.37943441415202e+20,5.2384057890877774e+20,2747099050829449.5,3205547906278878.5,1.3990526718117962e+16,1.4073532252371194e+16,17504.71844539272,15906.500052803185,5937.203527797886,5904.024699765345,133115.49238537485,131806.2052405861,38455.41632726273,38223.76868639826,5.175485755625433e+16,7,50,Beta,-63,D,a,i,1,1.52185e+17
2015-01-01,29271.09166666667,33967.425,142139.43333333332,142709.15,1.068437423136486e+20,1.2055447560869054e+20,2.1356396830218096e+20,2.13570815809131e+20,2.1432572500399967e+20,3.833080052344097e+20,3.971668958919756e+20,3.8314967013088906e+20,3.830663676446955e+20,3.695640219115232e+20,3881775664546902.0,4504578279957855.0,1.884977163028551e+16,1.892532440834851e+16,27524.45054707196,26762.655262329787,11329.790752427602,11284.922318949453,98745.53254976703,88169.60683291566,20326.48870479104,20240.94062428403,5.175485755625433e+16,11,270,Beta-Gamma,-48,E,a,c,3,8.21799e+17
2015-01-02,35123.85,40217.30833333333,175993.60833333337,176539.1,1.8941498946663567e+20,2.0996306162836023e+20,3.859608909237561e+20,3.859708435963882e+20,3.8644277137850224e+20,1.6039557207627894e+20,1.3647233795933784e+20,-4.4838764785556816e+19,-4.487710778000673e+19,-5.394389033150027e+19,4657937180062890.0,5333404389549733.0,2.3339331300790188e+16,2.3411671488884064e+16,40664.994426583966,39367.54955985742,16536.93012664372,16486.257454092858,34434.89379006896,25588.222454449842,-1921.1675008031928,-1916.8690198525348,5.175485755625433e+16,11,460,Beta-Gamma,-35,E,k,c,3,1.400102e+18
2015-01-03,38140.3,44480.11666666667,202637.275,203141.20833333328,2.5534233335687283e+20,2.862768943654648e+20,4.928761378523335e+20,4.928771662800737e+20,4.930309381465488e+20,7.236947641459856e+19,3.628575340528426e+19,-1.7620362587782742e+20,-1.762142871226974e+20,-1.8052243593397377e+20,5057962650129546.0,5898715237515298.0,2.6872671910656956e+16,2.6939500854796228e+16,50483.23821654415,48532.075687391974,18341.16605490474,18295.70521505499,14308.029026814782,6151.467216879726,-6556.981995078426,-6541.111807248823,5.175485755625433e+16,12,770,Beta-Gamma-Delta,-22,E,k,c,4,2.343649e+18
2015-01-04,39349.816666666666,46044.65,220703.25833333333,221156.95,2.51822290856669e+20,2.823658290668508e+20,4.783142034683036e+20,4.783161266353538e+20,4.786319196123552e+20,-2.3796458067249795e+19,-5.671329477173102e+19,-2.138759985919001e+20,-2.13887853227346e+20,-2.1725193573416835e+20,5218362283187208.0,6106195282635097.0,2.9268486021659304e+16,2.9328652184607028e+16,48256.95825450893,46242.51534664271,16342.293998888119,16308.83422888404,-4560.139134823672,-9287.82853260741,-7307.381681226261,-7292.795177938787,5.175485755625433e+16,15,900,Beta-Gamma-Delta,-9,E,k,c,4,2.73933e+18
2015-01-05,37891.04166666666,44700.9,227849.4,228352.5666666667,1.9121307784514096e+20,2.1650040456487728e+20,3.8784319478306485e+20,3.878438798188095e+20,3.8791456544818994e+20,-5.209881528232438e+19,-7.326356506777499e+19,-1.88936324360549e+20,-1.889378986721132e+20,-1.9000393822270007e+20,5024907342745136.0,5927994342655296.0,3.021616911913191e+16,3.028289639203722e+16,38053.05547000995,36521.69554330265,12835.617687137412,12807.357486478462,-10368.114619574755,-12358.91278448124,-6252.821911859123,-6239.096030516874,5.175485755625433e+16,15,860,Beta-Gamma-Delta,4,E,k,c,4,2.617582e+18
2015-01-06,34587.525,41532.375,237489.76666666663,238058.99166666679,1.2569420308157035e+20,1.4085642142755596e+20,2.6762854004733464e+20,2.676282228235712e+20,2.6765038471877768e+20,1.7586340145251738e+19,7.178051010687435e+18,-7.652229319244379e+19,-7.651379369558088e+19,-7.489050925781785e+19,4586812626288254.0,5507801499232415.0,3.149462299950395e+16,3.1570110575362576e+16,27403.387345971612,25573.982912635136,8497.594654539915,8477.265931163041,3834.109125029373,1303.2515808145574,-2429.6938938957624,-2423.615004861355,5.175485755625433e+16,16,700,Beta-Gamma-Delta,18,F,k,c,4,2.13059e+18
2015-01-07,29719.67521367521,35961.7094017094,234244.3589743589,235116.0940170941,5.045577238543492e+19,5.675117357427302e+19,1.254662221901753e+20,1.2547090343147194e+20,1.260686508670787e+20,7.006264908974875e+19,7.296025033994937e+19,4.89920085898314e+19,4.8957819501291225e+19,5.323865978493553e+19,3941264415978637.5,4769049613890259.0,3.1064234384518344e+16,3.1179839224725776e+16,12801.925235180262,11899.891628088842,4038.928519439211,4024.1036051261244,17776.69338948724,15298.698115332349,1577.1194610303294,1570.1754954036908,5.175485755625433e+16,16,460,Beta-Gamma,30,F,k,c,3,1.400102e+18
2015-01-08,22847.025,28366.6,197422.23333333328,198329.6,2.9874180061495718e+19,3.341335195328072e+19,6.617032860069132e+19,6.618673478977108e+19,6.833568772277767e+19,2.553421892598328e+19,3.358068706045397e+19,6.427263504143273e+19,6.435118357304095e+19,7.368665973996383e+19,3029850292645207.0,3761826816023071.5,2.618108096960852e+16,2.6301411085259756e+16,9859.95253099258,8882.214303688932,2527.410104934286,2516.4708682441938,8427.551350628173,8926.696709540394,2454.926712767956,2446.681790738811,5.175485755625433e+16,17,210,Beta-Gamma,44,F,a,c,3,6.39177e+17
2015-01-09,12245.95,16029.216666666667,161361.24166666667,162307.45833333337,5.552272943599318e+18,6.997857704949684e+18,2.399175323724682e+19,2.40202931862262e+19,2.740607356067742e+19,1.3987340005980445e+19,2.103426138785362e+19,8.821821828325725e+19,8.82979158534329e+19,1.030008050026995e+20,1623992410006054.2,2125709006243632.5,2.1398865072601092e+16,2.1524347267521692e+16,3418.903259269924,3292.011128708387,1121.1694244460487,1115.95919205739,8612.93434612068,9895.174422308879,4122.565284838916,4102.234309639974,5.175485755625433e+16,14,90,Beta,57,E,s,i,1,2.73933e+17
